Nombre,Tier,País,Año fundación,Funding,Pricing,ARPU estimado € / año,Foco mercado,Tiene AI,Tiene scouting overlay,Tiene streaming,Integración federaciones,Moat strength,Amenaza para Krujens,URL,Notas
Competize,Tier 1,ES,2013,Bootstrapped,Free / €19-200/mes / Federations on-quote,228,España,No,No,No,Sí,3,Media,https://www.competize.com,"700k usuarios y 100 países pero solo €250k revenue/año tras 13 años. UI dated. Buscando primera ronda 2026."
bcoach Arena,Tier 1,ES,2018,N/D,Trial 7d + on-quote,N/D,España,No,No,No,Sí,3,Media,https://bcoach.app,"Plataforma integral torneos + training. Tesis parecida a Krujens (ecosistema) pero sin AI ni scouting pro."
Federaciones territoriales,Tier 1,ES,N/A,N/A,Variable,N/D,España,No,No,No,Sí,4,Media,N/A,"FCF Catalunya, FFCV Valencia, RFFM Madrid. Gatekeepers más que competidores. RFEF usa Smartsheet (sic)."
Tournify,Tier 2,NL,N/D,N/D,Free 8 eq · €45/torneo · €300/año por 30 torneos,300,Europa,No,No,No,No,3,Media,https://tournifyapp.com,"Price leader EU. Usado por Arsenal Academy y Ajax youth. Sin scouting overlay ni catalogo persistente."
GotSport / GotSoccer,Tier 2,US,2008,Adquirido,$4-5/player/season,150,USA,No,Parcial,Parcial,No,4,Baja,https://home.gotsport.com,"Líder USA youth soccer (>100k torneos/año). Adquirió GotSoccer 2020. Sin presencia EU."
SportsEngine Tournaments,Tier 2,US,2008,Comcast/NBC,On-quote enterprise,N/D,USA,No,Parcial,Sí (SE Play),No,5,Baja,https://www.sportsengine.com,"Parte de NBC Sports Group/Comcast. Capital ilimitado. USA-only por ahora. Streaming integrado."
TourneyEngine (SE Tourney),Tier 2,US,N/D,Comcast/NBC,On-quote,N/D,USA,No,No,No,No,3,Baja,https://www.sportsengine.com/tournaments,"Integrado en suite SportsEngine. End-to-end TLMS. Multi-sport + multi-idioma."
OTTO SPORT AI,Tier 3,US,2024,$16.5M seed ene 2026,On-quote,N/D,USA,Sí (OTTO Pilot),Parcial,Parcial,No,4,Alta,https://www.ottosport.ai,"Mejor capitalizado con misma visión Krujens. AI nativa desde día 1. OTTO Pilot = Claude+RAG. Pre-MVP pero pre-launched features."
LeagueApps,Tier 3,US,2012,~$10M,0% sub + % transacciones,N/D,USA,No,No,No,No,3,Baja,https://leagueapps.com,"Modelo único: 0% subscription, revenue share. Más liga que torneo pero solapa."
Hudl + Wyscout,Amenaza,Global,Hudl 2006 / Wyscout 2004,Hudl $2B+,Wyscout €299-399/año · Hudl on-quote,1500,Global,Parcial (Hudl Assistant),Sí (Wyscout core),Sí (Hudl video),No,5,Existencial,https://www.hudl.com,"🚨 Adquirió Wyscout oct 2025. Anunció Hudl Wyscout International Cup in Spain feb 2026. ECNL integrado may 2026. Si lanza tournament module en EU en 12-24 meses = end-game para incumbentes."
Wyscout (standalone),Amenaza,IT,2004,Parte de Hudl,€299-399/año Copper-Mercury,349,Global,No,Sí (core),No,No,4,Alta,https://www.hudl.com/products/wyscout,"Plataforma scouting pro líder. Benchmark de ARPU para Vitas."
