Nombre,Categoría,Estado,Formato,Estación,Mes,Fecha inicio,Fecha fin,Ciudad,Provincia,Región,Sede,País,Total Equipos,Precio €,Nivel,Organizador,Tipo Organizador,Premio,Años edición,Hero image,Tags,Descripción
MIC Football 2026,U12 - U19,activo,grupos,primavera,4,2026-04-01,2026-04-05,Palamos,Girona,Catalunya,Costa Brava · Girona,España,380,600,internacional,MIC Football SL,privado,40000 EUR + Beca cantera,25,https://images.unsplash.com/photo-1583422409516-2895a77efded?w=1400&q=80,"Elite Internacional, Scouting Live, Semana Santa",El torneo de futbol base mas prestigioso del mundo. Mas de 380 equipos de 60 paises en la Costa Brava.
Donosti Cup XXXIII,Cadete - Juvenil,proximo,grupos,verano,7,2026-07-04,2026-07-10,San Sebastian,Gipuzkoa,País Vasco,San Sebastian · Donostia,España,600,450,internacional,Donosti Cup,privado,30000 EUR,33,https://images.unsplash.com/photo-1561553543-e4c7b608b98d?w=1400&q=80,"Internacional, 600+ equipos, Estadio Anoeta",Celebrando el futbol formativo con mas de 600 equipos. Una semana de scouting en la capital donostiarra.
Villarreal Yellow Cup,Alevin - Cadete,proximo,grupos,primavera,4,2026-04-10,2026-04-13,Villarreal,Castellón,Comunidad Valenciana,Estadio de la Ceramica · Villarreal,España,64,350,elite,Villarreal CF Cantera,cantera,15000 EUR + trial,12,https://images.unsplash.com/photo-1556056504-5c7696c4c28d?w=1400&q=80,"Premium, Elite Academies, Cantera Grogueta",Competicion de alto nivel en las instalaciones de la Ciudad Deportiva Jose Manuel Llaneza.
LaLiga Promises Santander,Alevin U12,finalizado,grupos,verano,6,2025-06-20,2025-06-22,Las Rozas,Madrid,Comunidad de Madrid,Ciudad del Futbol · Las Rozas,España,16,0,elite,LaLiga,federacion,Invitacion + viaje,15,https://images.unsplash.com/photo-1543783207-ec64e4d95325?w=1400&q=80,"Federacion, Alevin, Futbol 7",El escaparate de las futuras estrellas de nuestra liga.
Costa Daurada Cup,Benjamin - Juvenil,proximo,grupos,primavera,4,2026-04-04,2026-04-08,Salou,Tarragona,Catalunya,Salou · Tarragona,España,240,400,pro,Costa Daurada Cup,privado,12000 EUR,18,https://images.unsplash.com/photo-1530333313-69cfee1c12d8?w=1400&q=80,"Costa Daurada, Semana Santa, 200+ equipos",Torneo internacional en la Costa Daurada con sedes en Salou Cambrils y La Pineda.
Madrid Youth Cup,U13 - U19,proximo,grupos,verano,7,2026-07-14,2026-07-21,Madrid,Madrid,Comunidad de Madrid,Comunidad de Madrid,España,220,500,elite,Madrid Youth Cup,privado,20000 EUR + scouting NBA Style,14,https://images.unsplash.com/photo-1543783207-ec64e4d95325?w=1400&q=80,"Internacional, Madrid, Wanda Met",Uno de los torneos internacionales mas importantes de Europa con equipos de hasta 30 paises.
COTIF L'Alcudia 2026,Sub-20,proximo,grupos,verano,8,2026-08-01,2026-08-10,L'Alcudia,Valencia,Comunidad Valenciana,Camp Municipal · L'Alcudia,España,12,0,internacional,Ajuntament L'Alcudia,ayuntamiento,Invitacion + bolsa de viaje,42,https://images.unsplash.com/photo-1502602898657-3e91760cbb34?w=1400&q=80,"Selecciones, Sub-20, UEFA",Torneo internacional sub-20 con selecciones nacionales. Por aqui pasaron Iniesta Aimar y Tevez.
Costa Blanca Cup,B7 - U19,proximo,grupos,otono,11,2026-11-12,2026-11-15,Benidorm,Alicante,Comunidad Valenciana,Benidorm · Alicante,España,180,350,pro,Costa Blanca Tournaments,privado,8000 EUR,22,https://images.unsplash.com/photo-1566073771259-6a8506099945?w=1400&q=80,"Internacional, Pretemporada, Mediterraneo",Torneo internacional con equipos del norte de Europa que aprovechan el clima mediterraneo de Benidorm.
IberCup Madrid 2026,U10 - U17,proximo,grupos,verano,6,2026-06-26,2026-07-02,Madrid,Madrid,Comunidad de Madrid,Multisede · Comunidad de Madrid,España,280,550,internacional,IberCup,privado,18000 EUR,11,https://images.unsplash.com/photo-1543783207-ec64e4d95325?w=1400&q=80,"Internacional, Mundial Cantera, Madrid",Una semana inolvidable de futbol internacional en Madrid con equipos de 35 paises.
Trofeo Naranja Sub-17,Sub-17,proximo,eliminacion,verano,8,2026-08-15,2026-08-18,Paterna,Valencia,Comunidad Valenciana,Ciudad Deportiva Paterna · Valencia,España,4,300,pro,Valencia CF Academy,cantera,5000 EUR,38,https://images.unsplash.com/photo-1599282080213-7d6708a64b97?w=1400&q=80,"Pretemporada, Cantera VCF, Sub-17",Torneo de pretemporada organizado por la cantera del Valencia CF.
Memorial Quini,Cadete,proximo,eliminacion,verano,7,2026-07-25,2026-07-28,Aviles,Asturias,Asturias,Estadio Roman Suarez Puerta · Aviles,España,16,250,amateur,Ayto. de Aviles,ayuntamiento,Trofeo + Beca,8,https://images.unsplash.com/photo-1551522435-a13afa10f103?w=1400&q=80,"Memorial, Asturias, Cadete",Homenaje al gran Quini en su Asturias natal. Caracter formativo y solidario.
Cantabria Cup 2026,Alevin - Juvenil,proximo,grupos,verano,7,2026-07-18,2026-07-22,Santander,Cantabria,Cantabria,Multisede · Cantabria,España,140,380,pro,Cantabria Sports,privado,10000 EUR,16,https://images.unsplash.com/photo-1556803834-d7f6bc2afa30?w=1400&q=80,"Internacional, Cantabria, Verano",Torneo internacional con sedes en Santander Laredo y Castro Urdiales.
Bilbao International Football Cup,U10 - U17,activo,grupos,primavera,5,2026-05-15,2026-05-19,Bilbao,Bizkaia,País Vasco,San Mames · Bilbao,España,96,400,elite,Athletic Club Cantera,cantera,12000 EUR + visita cantera,9,https://images.unsplash.com/photo-1582750433449-648ed127bb54?w=1400&q=80,"Cantera Athletic, Bizkaia, Internacional",Torneo internacional organizado en colaboracion con la cantera del Athletic Club.
Trofeo Marivent,Infantil - Cadete,proximo,eliminacion,verano,6,2026-06-13,2026-06-16,Palma,Mallorca,Illes Balears,Son Moix · Palma,España,32,450,pro,Marivent Sports,privado,6000 EUR,28,https://images.unsplash.com/photo-1571417080323-d05a02f5e7e7?w=1400&q=80,"Mediterraneo, Mallorca, Vacacional",Torneo en la perla del Mediterraneo. Sedes junto al mar y excursiones turisticas.
Trofeo Ciudad de Miranda,Benjamin - Infantil,proximo,grupos,primavera,5,2026-05-22,2026-05-24,Miranda de Ebro,Burgos,Castilla y León,Anduva · Miranda de Ebro,España,48,200,amateur,Ayto. Miranda de Ebro,ayuntamiento,Trofeo + Material,35,https://images.unsplash.com/photo-1571687949921-1306bfb24b72?w=1400&q=80,"Burgos, Futbol Base, Municipal",Torneo veterano del calendario formativo organizado por el ayuntamiento mirandes.
Marbella Football Cup,U13 - U17,proximo,grupos,invierno,1,2027-01-04,2027-01-09,Marbella,Málaga,Andalucía,Marbella Football Center · Marbella,España,100,420,pro,Marbella Football Cup,privado,15000 EUR,17,https://images.unsplash.com/photo-1602002418816-5c0aeef426aa?w=1400&q=80,"Costa del Sol, Invierno, Internacional",Tradicional cita invernal de la Costa del Sol. Equipos del norte de Europa aprovechan el clima andaluz.
